"自動車メーカー,車種,型式,エンジン,年式,適合詳細,ダウン量,備考,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,セット内容,バネレート【F/R】(kg/mm)	,定価,送料,SET価格"
ホンダ,ストリーム,RN2/RN4,K20A,00/10～,,Fr：50～60mm<br>Rr：40～50mm,,16762,,260312,H100G71-qq-e-f1-51k,H100G71-qq-e-d-51k,H100G71,JIC,X-MAGIC,1台分,3.1/7.5,30500,1100,32800
ホンダ,ストリーム,RN6/RN8,R20A,06/7～,,Fr：30～40mm<br>Rr：30～40mm,,15998,,260313,H100RN6-qq-e-f1-52k,H100RN6-qq-e-d-52k,H100RN6,JIC,X-MAGIC,1台分,4.3/7.4,29000,1100,32000
ホンダ,ゼスト,JE1,P07A,06/3～,NA車未確認<br>フロントアッパー側バネφ92～φ94車に限る,Fr：30～40mm<br>Rr：30～40mm,,11411,,260314,H100G50-qq-e-f1-53k,H100G50-qq-e-d-53k,H100G50,JIC,X-MAGIC,1台分,2.8/2.6,20000,1100,27000
ホンダ,ゼストスパーク,JE1,P07A,08/12～,,Fr：25～35mm<br>Rr：25～35mm,,11411,,260315,H100G50-qq-e-f1-54k,H100G50-qq-e-d-54k,H100G50,JIC,X-MAGIC,1台分,2.8/2.6,20000,1100,27000
ホンダ,フィット,GE6,L13A,07/10～,,Fr：35～45mm<br>Rr：35～45mm,,14062,,260316,H100GE6-qq-e-f1-55k,H100GE6-qq-e-d-55k,H100GE6,JIC,X-MAGIC,1台分,2.4/2.3,25200,1100,29900
ホンダ,フィット,GE8,L15A,07/10～,,Fr：25～35mm<br>Rr：25～35mm,,14062,,260317,H100GE8-qq-e-f1-56k,H100GE8-qq-e-d-56k,H100GE8,JIC,X-MAGIC,1台分,1.8/1.5,25200,1100,29900
ホンダ,フィット,GK3,L13B,25/9～,,Fr：25～35mm<br>Rr：30～40mm,,17527,,260318,H100GK3-qq-e-f1-57k,H100GK3-qq-e-d-57k,H100GK3,JIC,X-MAGIC,1台分,1.68/1.75,32000,1100,33600
ホンダ,ライフ,JB5,P07A,03/9～,,Fr：40～50mm<br>Rr：30～40mm,,11411,,260319,H100G94-qq-e-f1-58k,H100G94-qq-e-d-58k,H100G94,JIC,X-MAGIC,1台分,2.8/2.6,20000,1100,27000
ホンダ,ライフターボ,JB7,P07A,03/9～,2WD車のみ,Fr：35～45mm<br>Rr：35～45mm,,11411,,260320,H100G94-qq-e-f1-59k,H100G94-qq-e-d-59k,H100G94,JIC,X-MAGIC,1台分,2.8/2.6,20000,1100,27000
マツダ,AZワゴン,MJ21S/MJ22S,K6A,03/10～08/9,,Fr：40～50mm<br>Rr：40～50mm,,10646,,260322,H100M99-qq-e-f1-61k,H100M99-qq-e-d-61k,H100M99,JIC,X-MAGIC,1台分,2.8/2.6,18500,1100,26200
マツダ,AZワゴン,MJ23S,K6A,08/9～12/12,,Fr：30～40mm<br>Rr：30～40mm,,13450,,260323,H100M82-qq-e-f1-62k,H100M82-qq-e-d-62k,H100M82,JIC,X-MAGIC,1台分,2.8/2.6,24000,1100,29200
